time,lat,lon,sst
2023-01-05,25.625,123.875,24.4
2023-01-05,25.875,122.125,23.34
2023-01-05,25.875,122.375,24.05
2023-01-05,25.875,122.625,24.529999
2023-01-05,25.875,122.875,24.74
2023-01-05,25.875,123.125,24.82
2023-01-05,25.875,123.375,24.68
2023-01-05,25.875,123.625,24.59
2023-01-05,25.875,123.875,24.41
2023-01-05,26.125,122.125,22.72
2023-01-05,26.125,122.375,23.41
2023-01-05,26.125,122.625,23.859999
2023-01-05,26.125,122.875,24.18
2023-01-05,26.125,123.125,24.33
2023-01-05,26.125,123.375,24.24
2023-01-05,26.125,123.625,24.16
2023-01-05,26.125,123.875,24.01
2023-01-05,26.375,122.125,21.98
2023-01-05,26.375,122.375,22.47
2023-01-05,26.375,122.625,22.83
2023-01-05,26.375,122.875,23.18
2023-01-05,26.375,123.125,23.38
2023-01-05,26.375,123.375,23.34
2023-01-05,26.375,123.625,23.32
2023-01-05,26.375,123.875,23.13
2023-01-05,26.625,122.125,21.27
2023-01-05,26.625,122.375,21.49
2023-01-05,26.625,122.625,21.71
2023-01-05,26.625,122.875,21.96
2023-01-05,26.625,123.125,22.16
2023-01-05,26.625,123.375,22.24
2023-01-05,26.625,123.625,22.289999
2023-01-05,26.625,123.875,22.14
2023-01-05,26.875,122.125,21.0
2023-01-05,26.875,122.375,20.98
2023-01-05,26.875,122.625,20.939999
2023-01-05,26.875,122.875,21.01
2023-01-05,26.875,123.125,21.17
2023-01-05,26.875,123.375,21.3
2023-01-05,26.875,123.625,21.35
2023-01-05,26.875,123.875,21.34
2023-01-06,25.125,122.125,23.72
2023-01-06,25.125,122.375,24.34
2023-01-06,25.125,122.625,24.699999
2023-01-06,25.125,122.875,24.59
2023-01-06,25.125,123.125,24.33
2023-01-06,25.125,123.375,24.18
2023-01-06,25.125,123.625,23.939999
2023-01-06,25.125,123.875,23.769999
2023-01-06,25.375,122.125,23.08
2023-01-06,25.375,122.375,24.01
2023-01-06,25.375,122.625,24.529999
2023-01-06,25.375,122.875,24.59
2023-01-06,25.375,123.125,24.48
2023-01-06,25.375,123.375,24.269999
2023-01-06,25.375,123.625,24.119999
2023-01-06,25.375,123.875,24.0
2023-01-06,25.625,122.125,23.109999
2023-01-06,25.625,122.375,24.019999
2023-01-06,25.625,122.625,24.55
2023-01-06,25.625,122.875,24.68
2023-01-06,25.625,123.125,24.63
2023-01-06,25.625,123.375,24.48
2023-01-06,25.625,123.625,24.4
2023-01-06,25.625,123.875,24.279999
2023-01-06,25.875,122.125,23.16
2023-01-06,25.875,122.375,23.92
2023-01-06,25.875,122.625,24.4
2023-01-06,25.875,122.875,24.619999
2023-01-06,25.875,123.125,24.66
2023-01-06,25.875,123.375,24.539999
2023-01-06,25.875,123.625,24.43
2023-01-06,25.875,123.875,24.25
2023-01-06,26.125,122.125,22.769999
2023-01-06,26.125,122.375,23.39
2023-01-06,26.125,122.625,23.84
2023-01-06,26.125,122.875,24.15
2023-01-06,26.125,123.125,24.26
2023-01-06,26.125,123.375,24.15
2023-01-06,26.125,123.625,24.029999
2023-01-06,26.125,123.875,23.81
2023-01-06,26.375,122.125,22.07
2023-01-06,26.375,122.375,22.519999
2023-01-06,26.375,122.625,22.869999
2023-01-06,26.375,122.875,23.18
2023-01-06,26.375,123.125,23.34
2023-01-06,26.375,123.375,23.289999
2023-01-06,26.375,123.625,23.17
2023-01-06,26.375,123.875,22.96
2023-01-06,26.625,122.125,21.3
2023-01-06,26.625,122.375,21.55
2023-01-06,26.625,122.625,21.73
2023-01-06,26.625,122.875,21.93
2023-01-06,26.625,123.125,22.109999
2023-01-06,26.625,123.375,22.18
2023-01-06,26.625,123.625,22.1
2023-01-06,26.625,123.875,21.96
2023-01-06,26.875,122.125,20.88
2023-01-06,26.875,122.375,20.93
2023-01-06,26.875,122.625,20.88
2023-01-06,26.875,122.875,20.949999
2023-01-06,26.875,123.125,21.09
2023-01-06,26.875,123.375,21.189999
2023-01-06,26.875,123.625,21.18
2023-01-06,26.875,123.875,21.15
2023-01-07,25.125,122.125,23.4
2023-01-07,25.125,122.375,24.21
2023-01-07,25.125,122.625,24.73
2023-01-07,25.125,122.875,24.63
2023-01-07,25.125,123.125,24.38
2023-01-07,25.125,123.375,24.16
2023-01-07,25.125,123.625,23.92
2023-01-07,25.125,123.875,23.74
2023-01-07,25.375,122.125,22.83
2023-01-07,25.375,122.375,23.89
2023-01-07,25.375,122.625,24.519999
2023-01-07,25.375,122.875,24.63
2023-01-07,25.375,123.125,24.48
2023-01-07,25.375,123.375,24.3
2023-01-07,25.375,123.625,24.109999
2023-01-07,25.375,123.875,23.939999
2023-01-07,25.625,122.125,22.8
2023-01-07,25.625,122.375,23.83
2023-01-07,25.625,122.625,24.48
2023-01-07,25.625,122.875,24.619999
2023-01-07,25.625,123.125,24.57
2023-01-07,25.625,123.375,24.43
2023-01-07,25.625,123.625,24.3
2023-01-07,25.625,123.875,24.13
2023-01-07,25.875,122.125,23.019999
2023-01-07,25.875,122.375,23.859999
2023-01-07,25.875,122.625,24.39
2023-01-07,25.875,122.875,24.56
2023-01-07,25.875,123.125,24.57
2023-01-07,25.875,123.375,24.449999
2023-01-07,25.875,123.625,24.3
2023-01-07,25.875,123.875,24.09
2023-01-07,26.125,122.125,22.81
2023-01-07,26.125,122.375,23.47
2023-01-07,26.125,122.625,23.89
2023-01-07,26.125,122.875,24.15
2023-01-07,26.125,123.125,24.22
2023-01-07,26.125,123.375,24.1
2023-01-07,26.125,123.625,23.93
2023-01-07,26.125,123.875,23.68
2023-01-07,26.375,122.125,22.17
2023-01-07,26.375,122.375,22.63
2023-01-07,26.375,122.625,22.939999
2023-01-07,26.375,122.875,23.18
2023-01-07,26.375,123.125,23.31
2023-01-07,26.375,123.375,23.269999
2023-01-07,26.375,123.625,23.109999
2023-01-07,26.375,123.875,22.869999
2023-01-07,26.625,122.125,21.38
2023-01-07,26.625,122.375,21.67
2023-01-07,26.625,122.625,21.789999
2023-01-07,26.625,122.875,21.91
2023-01-07,26.625,123.125,22.07
2023-01-07,26.625,123.375,22.14
2023-01-07,26.625,123.625,22.01
2023-01-07,26.625,123.875,21.869999
2023-01-07,26.875,122.125,20.85
2023-01-07,26.875,122.375,20.97
2023-01-07,26.875,122.625,20.9
2023-01-07,26.875,122.875,20.9
2023-01-07,26.875,123.125,21.01
2023-01-07,26.875,123.375,21.109999
2023-01-07,26.875,123.625,21.07
2023-01-07,26.875,123.875,21.039999
2023-01-08,25.125,122.125,23.439999
2023-01-08,25.125,122.375,24.289999
2023-01-08,25.125,122.625,24.72
2023-01-08,25.125,122.875,24.67
2023-01-08,25.125,123.125,24.35
2023-01-08,25.125,123.375,24.09
2023-01-08,25.125,123.625,23.869999
2023-01-08,25.125,123.875,23.689999
2023-01-08,25.375,122.125,23.01
2023-01-08,25.375,122.375,24.09
2023-01-08,25.375,122.625,24.72
2023-01-08,25.375,122.875,24.75
2023-01-08,25.375,123.125,24.57
2023-01-08,25.375,123.375,24.369999
2023-01-08,25.375,123.625,24.18
2023-01-08,25.375,123.875,23.99
2023-01-08,25.625,122.125,23.09
2023-01-08,25.625,122.375,24.15
2023-01-08,25.625,122.625,24.71
2023-01-08,25.625,122.875,24.789999
2023-01-08,25.625,123.125,24.68
2023-01-08,25.625,123.375,24.539999
2023-01-08,25.625,123.625,24.4
2023-01-08,25.625,123.875,24.22
2023-01-08,25.875,122.125,23.22
2023-01-08,25.875,122.375,24.07
2023-01-08,25.875,122.625,24.57
2023-01-08,25.875,122.875,24.71
2023-01-08,25.875,123.125,24.68
2023-01-08,25.875,123.375,24.57
2023-01-08,25.875,123.625,24.41
2023-01-08,25.875,123.875,24.189999
2023-01-08,26.125,122.125,22.98
2023-01-08,26.125,122.375,23.64
2023-01-08,26.125,122.625,24.07
2023-01-08,26.125,122.875,24.289999
2023-01-08,26.125,123.125,24.34
2023-01-08,26.125,123.375,24.23
2023-01-08,26.125,123.625,24.05
2023-01-08,26.125,123.875,23.789999
2023-01-08,26.375,122.125,22.33
2023-01-08,26.375,122.375,22.81
2023-01-08,26.375,122.625,23.109999
2023-01-08,26.375,122.875,23.31
2023-01-08,26.375,123.125,23.42
2023-01-08,26.375,123.375,23.4
2023-01-08,26.375,123.625,23.23
2023-01-08,26.375,123.875,22.99
